FEATURE2,NAME,POP_2010,LATITUDE,LONGITUDE
County Seat,Missoula,66788,46.872146,-113.9939982
-999,Klein,168,46.4041303,-108.5493007
-999,Musselshell,60,46.5185867,-108.0912238
-999,Melstone,96,46.5985922,-107.8720495
-999,Delphia,-999,46.5046948,-108.2192837
County Seat,Roundup,1788,46.445242,-108.5417999
-999,Gardiner,875,45.0318802,-110.7057663
-999,Wilsall,178,45.9938227,-110.660209
-999,Clyde Park,288,45.8868789,-110.6038188
-999,Cooke City,75,45.0166071,-109.934071
-999,Corwin Springs,109,45.112991,-110.7899367
-999,Emigrant,488,45.3702141,-110.7335469
-999,Pray,681,45.3802143,-110.6815999
-999,Silver Gate,20,45.006884,-109.9896288
-999,Springdale,42,45.738268,-110.2271387
-999,Jardine,57,45.0699365,-110.6343747
-999,Chico Hot Springs,-999,45.3377145,-110.692156
-999,Miner,-999,45.1991002,-110.9085524
County Seat,Livingston,7044,45.6624354,-110.5610396
-999,Flatwillow,-999,46.8319199,-108.4001284
-999,Mosby,-999,46.99221,-107.8837221
-999,Teigen,-999,47.0366436,-108.5968026
-999,Cat Creek,-999,47.0652641,-108.0062267
County Seat,Winnett,182,47.002759,-108.3520716
-999,Dodson,124,48.3955535,-108.2442994
-999,Saco,197,48.4572229,-107.3425857
-999,Whitewater,64,48.7594509,-107.6275913
-999,Zortman,69,47.9177736,-108.5262585
-999,Morgan,-999,48.9933527,-107.8323167
-999,Landusky,-999,47.8977716,-108.6223746
-999,Loring,-999,48.7922304,-107.8617711
-999,Sun Prairie,-999,47.8455532,-107.7465009
-999,Wagner,-999,48.3705534,-108.0776252
-999,Bowdoin,-999,48.3927741,-107.6062147
-999,Chapman,-999,48.8686204,-108.1331724
County Seat,Malta,1997,48.3597197,-107.8742831
-999,Heart Butte,582,48.2833011,-112.8367307
-999,Valier,509,48.3077541,-112.2497602
-999,Brady,140,48.0355192,-111.840008
-999,Dupuyer,86,48.1924688,-112.499489
-999,Ledger,-999,48.260256,-111.8230708
County Seat,Conrad,2570,48.1702505,-111.9461301
-999,Biddle,41,45.0994302,-105.338326
